
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        152 K
Registry                        88 Services                   0     72,220 K
smss.exe                       308 Services                   0        992 K
csrss.exe                      404 Services                   0      4,540 K
csrss.exe                      480 Console                    1      5,356 K
wininit.exe                    488 Services                   0      5,852 K
winlogon.exe                   536 Console                    1     10,688 K
services.exe                   620 Services                   0      8,148 K
lsass.exe                      628 Services                   0     15,808 K
svchost.exe                    744 Services                   0      3,504 K
svchost.exe                    764 Services                   0     27,820 K
fontdrvhost.exe                784 Console                    1      4,784 K
fontdrvhost.exe                792 Services                   0      3,212 K
svchost.exe                    876 Services                   0     11,432 K
svchost.exe                    924 Services                   0      7,288 K
dwm.exe                        992 Console                    1     55,728 K
svchost.exe                    332 Services                   0      9,676 K
svchost.exe                    948 Services                   0      7,916 K
svchost.exe                   1132 Services                   0      5,472 K
svchost.exe                   1144 Services                   0     22,456 K
svchost.exe                   1232 Services                   0     43,772 K
svchost.exe                   1240 Services                   0     11,072 K
svchost.exe                   1248 Services                   0      7,656 K
svchost.exe                   1256 Services                   0      5,316 K
svchost.exe                   1328 Services                   0      6,092 K
svchost.exe                   1356 Services                   0      6,812 K
svchost.exe                   1396 Services                   0      6,992 K
Memory Compression            1432 Services                   0     39,420 K
svchost.exe                   1468 Services                   0      6,604 K
svchost.exe                   1476 Services                   0      8,224 K
svchost.exe                   1540 Services                   0     10,644 K
svchost.exe                   1564 Services                   0      6,164 K
svchost.exe                   1592 Services                   0      7,512 K
svchost.exe                   1624 Services                   0     13,548 K
svchost.exe                   1704 Services                   0      7,484 K
svchost.exe                   1812 Services                   0     17,176 K
svchost.exe                   1868 Services                   0      8,272 K
svchost.exe                   1980 Services                   0     11,328 K
svchost.exe                   1672 Services                   0      9,348 K
svchost.exe                   1852 Services                   0      6,740 K
svchost.exe                    416 Services                   0     14,008 K
svchost.exe                   2140 Services                   0      7,820 K
svchost.exe                   2188 Services                   0      6,676 K
svchost.exe                   2196 Services                   0      6,704 K
svchost.exe                   2288 Services                   0     17,908 K
svchost.exe                   2296 Services                   0     14,180 K
svchost.exe                   2304 Services                   0     14,048 K
svchost.exe                   2392 Services                   0     20,452 K
qemu-ga.exe                   2444 Services                   0     12,504 K
blnsvr.exe                    2464 Services                   0      6,920 K
VGAuthService.exe             2556 Services                   0      8,640 K
svchost.exe                   2720 Services                   0      8,628 K
svchost.exe                   2736 Services                   0     10,292 K
WmiPrvSE.exe                  1416 Services                   0     37,276 K
svchost.exe                   1092 Services                   0      6,964 K
dllhost.exe                   1616 Services                   0     10,852 K
WmiPrvSE.exe                  2348 Services                   0      9,848 K
svchost.exe                   1832 Services                   0     16,084 K
sihost.exe                    2580 Console                    1     25,732 K
svchost.exe                   1636 Console                    1     14,932 K
svchost.exe                   2332 Services                   0     11,020 K
svchost.exe                   2676 Console                    1     23,348 K
svchost.exe                   1560 Services                   0     12,100 K
taskhostw.exe                 3108 Console                    1     13,432 K
svchost.exe                   3676 Services                   0      7,200 K
explorer.exe                  3824 Console                    1    116,656 K
svchost.exe                   1728 Console                    1     18,416 K
SgrmBroker.exe                2656 Services                   0      6,392 K
ShellExperienceHost.exe       3992 Console                    1     64,768 K
SearchUI.exe                  3644 Console                    1    172,260 K
RuntimeBroker.exe             1512 Console                    1     17,428 K
RuntimeBroker.exe             3952 Console                    1     34,124 K
svchost.exe                   3208 Services                   0     24,992 K
svchost.exe                   3104 Console                    1     10,828 K
SecurityHealthSystray.exe     3624 Console                    1      8,696 K
SecurityHealthService.exe     1204 Services                   0     15,752 K
svchost.exe                   3384 Services                   0      9,260 K
svchost.exe                   1044 Services                   0     18,076 K
svchost.exe                   1156 Services                   0      8,628 K
dllhost.exe                   3596 Console                    1     12,576 K
RuntimeBroker.exe             4660 Console                    1     22,184 K
MsMpEng.exe                   2852 Services                   0    187,028 K
MpDefenderCoreService.exe     1308 Services                   0     21,648 K
NisSrv.exe                    4784 Services                   0     10,840 K
WindowsInternal.Composabl     1392 Console                    1     50,192 K
svchost.exe                   3064 Services                   0      7,632 K
spoolsv.exe                   3840 Services                   0     12,996 K
svchost.exe                   3380 Services                   0      8,832 K
ctfmon.exe                    5860 Console                    1     18,884 K
Sysmon.exe                    4624 Services                   0     18,928 K
unsecapp.exe                  3724 Services                   0      7,000 K
taskrunner.exe                3200 Services                   0      3,716 K
conhost.exe                   5576 Services                   0        480 K
powershell.exe                4988 Console                    1     71,064 K
conhost.exe                   3096 Console                    1     19,444 K
svchost.exe                   4892 Services                   0     19,700 K
chrome.exe                    4896 Console                    1    203,084 K
chrome.exe                    2436 Console                    1      7,796 K
chrome.exe                    4192 Console                    1     42,760 K
chrome.exe                    3028 Console                    1     42,784 K
chrome.exe                    4164 Console                    1     18,052 K
chrome.exe                    4644 Console                    1     97,568 K
svchost.exe                   5684 Services                   0      7,012 K
chrome.exe                    4980 Console                    1    120,372 K
svchost.exe                   2172 Services                   0      7,004 K
chrome.exe                    4484 Console                    1     65,388 K
WmiPrvSE.exe                  4344 Services                   0     10,012 K
svchost.exe                   5700 Services                   0      6,768 K
chrome.exe                    2156 Console                    1     16,512 K
chrome.exe                    5280 Console                    1    197,848 K
chrome.exe                    2504 Console                    1     31,096 K
powershell.exe                5920 Console                    1     58,148 K
tasklist.exe                  4084 Console                    1      7,916 K
