
Interface: 10.0.17.46 --- 0x6
  Internet Address      Physical Address      Type
  10.0.17.2             bc-24-11-a9-de-b4     dynamic   
  10.0.17.21            bc-24-11-2b-7f-7d     dynamic   
  10.0.17.30            bc-24-11-3f-fc-18     dynamic   
  10.0.17.31            bc-24-11-47-76-2c     dynamic   
  10.0.17.32            bc-24-11-07-8c-4b     dynamic   
  10.0.17.33            bc-24-11-b0-c6-1c     dynamic   
  10.0.17.50            bc-24-11-fa-65-24     dynamic   
  10.0.17.51            bc-24-11-be-09-d9     dynamic   
  10.0.17.53            bc-24-11-43-3e-ff     dynamic   
  10.0.17.54            bc-24-11-da-6a-b8     dynamic   
  10.0.17.55            bc-24-11-32-b9-b6     dynamic   
  10.0.17.56            bc-24-11-e2-c7-4f     dynamic   
  10.0.17.57            bc-24-11-6d-76-f5     dynamic   
  10.0.17.58            bc-24-11-28-81-da     dynamic   
  10.0.17.59            bc-24-11-bd-c4-55     dynamic   
  10.0.17.61            bc-24-11-c4-dc-c7     dynamic   
  10.0.17.62            bc-24-11-be-ad-0d     dynamic   
  10.0.17.64            bc-24-11-aa-a5-59     dynamic   
  10.0.17.65            bc-24-11-9c-9e-e2     dynamic   
  10.0.17.66            bc-24-11-3f-57-94     dynamic   
  10.0.17.68            bc-24-11-19-1d-7f     dynamic   
  10.0.17.69            bc-24-11-15-34-56     dynamic   
  10.0.17.70            bc-24-11-68-37-b7     dynamic   
  10.0.17.71            bc-24-11-fb-9d-f9     dynamic   
  10.0.17.255           ff-ff-ff-ff-ff-ff     static    
  169.254.88.47         bc-24-11-e2-c7-4f     dynamic   
  224.0.0.22            01-00-5e-00-00-16     static    
  224.0.0.251           01-00-5e-00-00-fb     static    
  224.0.0.252           01-00-5e-00-00-fc     static    
  239.255.255.250       01-00-5e-7f-ff-fa     static    
  255.255.255.255       ff-ff-ff-ff-ff-ff     static    
